Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	
ENSG00000167332	11	6	22	9	19	9	112	0	6	14	0
ENSG00000167333	147	56	212	592	278	275	725	133	87	82	238
ENSG00000009830	118	41	260	518	398	233	947	158	131	110	730
ENSG00000259603	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238489	0	0	0	0	1	0	0	0	0	0	0
ENSG00000220161	0	0	7	10	14	0	6	0	6	0	28
ENSG00000258056	55	83	143	286	68	153	283	64	52	85	70
ENSG00000244183	0	6	6	1	20	1	15	4	5	0	18
ENSG00000178927	254	120	447	849	382	429	2202	403	212	245	561
ENSG00000178921	91	85	283	927	389	327	1588	232	147	158	768
ENSG00000266349	0	0	0	0	1	0	0	0	0	0	0
ENSG00000178922	148	77	350	473	345	164	1062	150	233	143	310
ENSG00000266347	1	0	4	2	6	2	9	6	2	8	4
ENSG00000266346	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266344	0	0	0	0	0	0	0	0	0	0	4
ENSG00000178928	0	0	0	0	0	0	0	0	0	0	9
ENSG00000274852	0	0	3	1	2	1	1	2	2	1	3
ENSG00000266340	0	0	0	0	6	7	0	7	0	0	0
ENSG00000252861	0	0	1	0	4	0	3	0	0	0	2
ENSG00000252860	0	3	2	5	0	4	11	0	2	4	2
ENSG00000252863	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168310	255	163	521	810	811	532	2331	357	213	186	387
ENSG00000252864	0	0	1	0	2	0	0	0	0	0	7
ENSG00000252867	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168314	0	0	0	0	88	0	6	0	37	11	33
ENSG00000252869	0	0	0	2	3	0	1	3	0	0	8
ENSG00000262456	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212135	12	10	15	6	62	5	3	3	0	1	11
ENSG00000262454	21	26	36	97	32	47	78	22	20	6	9
ENSG00000212133	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229492	0	0	0	0	3	3	3	0	6	3	6
ENSG00000241073	0	0	0	0	10	0	3	0	0	0	0
ENSG00000268416	8	0	151	0	387	0	232	42	71	15	286
ENSG00000114268	19	16	52	61	89	60	400	56	0	23	206
ENSG00000241074	0	0	0	0	0	0	0	3	0	0	3
ENSG00000268412	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200673	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265867	0	0	2	4	2	0	3	1	1	1	4
ENSG00000200670	0	0	0	2	0	0	0	3	0	0	0
ENSG00000200677	0	0	0	0	4	0	0	0	1	0	0
ENSG00000040487	27	27	106	219	104	59	397	103	91	58	110
ENSG00000200674	2	0	7	18	5	6	12	0	10	0	11
ENSG00000204709	0	0	0	0	6	0	0	0	0	0	0
ENSG00000206816	0	0	0	4	0	4	8	0	4	0	1
ENSG00000235888	0	0	0	0	8	4	27	0	0	0	0
ENSG00000224098	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204703	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204702	0	0	0	0	33	0	0	0	9	6	0
ENSG00000204701	0	0	0	0	30	0	0	0	6	3	0
ENSG00000204700	0	0	0	0	10	0	0	0	0	3	0
ENSG00000204706	91	30	133	260	252	127	193	80	33	51	135
ENSG00000204705	0	0	2	0	12	2	2	0	0	0	5
ENSG00000204704	0	0	0	0	9	0	0	0	4	2	0
ENSG00000227973	0	6	3	0	9	0	3	2	3	0	11
ENSG00000217929	4	1	14	18	22	5	22	10	13	5	61
ENSG00000153107	378	292	875	1480	1542	764	2812	560	356	333	913
ENSG00000228778	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228779	3	2	15	39	11	13	25	4	3	0	59
ENSG00000228775	6	19	47	49	61	27	94	9	0	10	70
ENSG00000228776	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228777	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228770	0	0	2	6	8	3	5	3	1	0	3
ENSG00000228771	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228772	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279268	0	0	0	0	2	1	2	0	3	0	1
ENSG00000279269	0	0	0	0	3	3	0	0	0	0	6
ENSG00000222685	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279260	0	0	0	0	5	0	0	0	0	0	0
ENSG00000279261	0	0	0	0	14	0	0	0	6	0	16
ENSG00000279262	0	3	0	2	1	4	14	4	6	4	14
ENSG00000279263	0	0	2	6	21	3	6	3	3	2	13
ENSG00000279264	0	0	0	0	3	0	0	0	0	0	2
ENSG00000279265	23	0	26	26	25	33	60	6	8	3	41
ENSG00000279266	0	0	6	3	17	0	9	3	11	0	19
ENSG00000279267	57	18	70	69	55	76	104	14	9	16	24
ENSG00000226646	0	0	0	0	6	0	0	0	0	0	0
ENSG00000226647	5	0	44	50	77	29	85	25	0	5	113
ENSG00000226644	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226645	0	0	16	14	11	7	20	0	0	0	10
ENSG00000226642	3	3	6	8	19	0	9	3	0	3	15
ENSG00000226643	0	0	0	0	8	0	0	0	0	0	0
ENSG00000226640	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226641	0	0	5	0	3	0	6	0	6	0	6
ENSG00000164047	0	0	0	0	0	0	8	0	0	0	0
ENSG00000143756	698	472	1241	2089	1348	1180	5296	583	388	465	664
ENSG00000226648	7	0	24	19	33	3	28	0	29	0	41
ENSG00000226649	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158022	0	0	0	6	0	0	6	0	0	0	15
ENSG00000158023	16	21	51	109	217	50	186	26	15	6	107
ENSG00000183242	0	0	17	3	0	0	9	6	0	0	0
ENSG00000198723	0	0	0	0	0	0	16	0	0	0	4
ENSG00000167800	0	0	0	0	0	0	0	0	0	0	5
ENSG00000236492	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198722	874	505	1161	2937	1427	1530	3765	724	784	744	1155
ENSG00000239552	6	0	67	54	14	13	33	9	0	6	6
ENSG00000227412	0	0	0	0	9	0	0	0	0	0	0
ENSG00000183248	0	0	9	0	32	0	169	6	14	0	145
ENSG00000183249	0	0	0	0	0	0	0	0	0	0	0
ENSG00000127774	46	5	102	106	21	31	312	62	26	38	22
ENSG00000239927	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239926	62	16	54	95	99	37	89	22	35	31	70
ENSG00000239924	0	0	0	0	3	0	0	0	0	0	3
ENSG00000239923	0	3	0	3	8	3	3	0	0	3	3
ENSG00000239922	0	0	0	0	14	0	0	6	11	0	0
ENSG00000239921	0	0	0	0	0	0	0	0	0	0	11
ENSG00000239920	6	0	3	1	9	2	0	0	0	6	14
ENSG00000233924	0	0	0	3	2	0	11	3	3	0	7
ENSG00000233927	505	200	2139	2708	1265	1117	4806	894	555	444	862
ENSG00000233926	0	0	0	0	17	0	0	0	0	0	0
ENSG00000233921	0	0	4	0	4	0	0	5	0	0	0
ENSG00000233920	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239432	0	0	0	0	0	0	0	2	2	0	0
ENSG00000233922	0	0	6	0	27	6	14	0	0	0	22
ENSG00000173838	0	0	0	0	0	0	11	0	0	0	0
ENSG00000233929	3	0	2	3	2	1	9	0	0	0	0
ENSG00000122729	4247	1914	4012	10421	2512	3879	8726	2419	2509	3783	515
ENSG00000227418	0	0	0	0	0	0	0	0	6	0	0
ENSG00000245311	0	0	0	0	16	0	0	0	6	0	0
ENSG00000245317	19	14	38	35	82	23	97	22	17	0	28
ENSG00000165406	537	346	1109	1585	909	823	4156	466	522	421	624
