,SRR5962198,SRR5962199,SRR5962200,SRR5962201,SRR5962202,SRR5962203,SRR5962204,SRR5962205,SRR5962206,SRR5962207,SRR5962208,SRR5962209,SRR5962210,SRR5962211,SRR5962212,SRR5962213,SRR5962214,SRR5962215,SRR5962216,SRR5962217,SRR5962218,SRR5962219,SRR5962220,SRR5962221,SRR5962222,SRR5962223,SRR5962224,SRR5962225,SRR5962226,SRR5962227,SRR5962228,SRR5962229,SRR5962230,SRR5962231,SRR5962232,SRR5962233,SRR5962234,SRR5962235,SRR5962236,SRR5962237,SRR5962238,SRR5962239,SRR5962240,SRR5962241
ENSG00000061918,199,189,558,723,528,534,2457,310,132,187,145,225,182,174,346,565,1913,1017,907,748,1007,204,22,87,223,270,650,784,750,1070,232,296,239,173,1450,212,322,400,503,722,692,1825,740,376
ENSG00000130751,0,0,0,0,0,0,31,0,0,0,11,8,0,0,25,25,8,6,0,0,43,0,0,16,41,7,11,27,18,0,0,5,19,0,0,0,0,18,20,35,21,21,29,45
ENSG00000180818,0,0,43,16,115,25,764,18,14,6,56,16,14,137,375,559,85,58,51,35,144,467,0,354,0,516,556,1775,378,55,17,428,287,22,61,340,738,213,355,560,41,642,208,246
ENSG00000231859,0,1,4,0,13,3,12,0,2,0,10,5,3,0,10,25,11,1,19,0,18,0,0,0,5,5,6,33,11,7,6,15,17,2,0,0,22,15,8,20,6,34,36,22
ENSG00000130755,160,84,311,665,187,272,600,312,57,120,85,239,120,167,164,131,668,585,481,576,332,418,0,41,77,42,278,473,449,779,75,71,128,82,299,85,72,119,614,336,79,727,236,274
ENSG00000233437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10
ENSG00000186115,0,0,0,0,5,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,13,0,0,0,0,0,0,64,12,0,0,0,424,0,0,0,16,38,0,0,0,0,0,40
ENSG00000197670,12,5,64,39,38,24,139,19,29,22,138,55,25,21,47,189,95,76,136,35,134,201,4,88,99,65,54,354,189,124,106,215,154,42,109,50,70,92,148,109,273,197,373,176
ENSG00000110756,528,227,937,1016,1496,813,2450,609,215,264,1320,667,618,420,485,2069,2736,2079,1569,1381,2932,1269,16,541,520,197,1258,2883,1786,1386,327,566,955,187,1901,439,809,595,1384,1776,870,1884,1752,677
ENSG00000248840,0,0,5,3,5,1,11,0,17,1,18,9,1,0,12,18,1,5,19,2,59,6,3,6,17,10,3,53,22,6,1,3,9,3,3,4,19,16,5,4,40,23,37,22
